Time (s)	Time (min)	T (K)	Radius (V)	theta
0.800676822504	0.0133446137084	295.664	2.30969e-07	23.628
2.60893552688	0.0434822587814	295.664	2.27244e-07	17.652
4.41872810563	0.0736454684272	295.664	2.08617e-07	10.956
6.22579029701	0.103763171617	295.662	1.78815e-07	8.586
8.03595873273	0.133932645545	295.663	1.41562e-07	13.392
9.8432375493	0.164053959155	295.664	1.04309e-07	20.136
11.6538147382	0.194230245637	295.664	6.70557e-08	25.344
13.462987188	0.224383119799	295.664	4.8429e-08	0.0
15.2725977876	0.254543296459	295.664	6.33304e-08	-32.904
17.0787458836	0.284645764727	295.664	9.31327e-08	-45.0
18.8889409163	0.314815681938	295.664	1.11759e-07	-53.472
20.6965189486	0.344941982476	295.664	1.15484e-07	-61.26
22.5061718933	0.375102864889	295.664	9.6858e-08	-68.55
24.3136183407	0.405226972345	295.664	7.45063e-08	-77.196
26.1134811564	0.43522468594	295.664	4.47037e-08	-98.13
27.9195743087	0.465326238479	295.663	2.60771e-08	-156.798
29.7273241714	0.495455402856	295.663	5.21543e-08	124.698
31.5349193517	0.525581989196	295.664	9.31327e-08	116.562
33.3452319709	0.555753866182	295.664	1.26661e-07	115.2
35.1533321435	0.585888869058	295.664	1.15484e-07	118.74
36.952864597	0.615881076617	295.664	9.31327e-08	135.0
38.7528859446	0.645881432409	295.664	7.82316e-08	163.074
40.5528449992	0.675880749987	295.665	7.82316e-08	-175.236
42.3527571593	0.705879285988	295.664	8.19568e-08	-163.74
44.1524680924	0.735874468207	295.664	8.56821e-08	-159.444
45.9532495529	0.765887492549	295.664	7.0781e-08	-158.196
47.7529363388	0.795882272313	295.664	3.35278e-08	-138.816
49.5535991629	0.825893319382	295.665	2.23519e-08	-33.69
51.3529667853	0.855882779755	295.665	5.96051e-08	-6.342
53.160297046	0.886004950766	295.664	8.19568e-08	-4.572
54.9660902827	0.916101504711	295.664	1.00583e-07	0.0
56.7764704441	0.946274507402	295.664	1.1921e-07	9.462
58.5841366664	0.976402277773	295.663	1.34111e-07	22.836
60.3946102671	1.00657683779	295.663	1.37837e-07	33.312
62.2030194543	1.0367169909	295.663	1.26661e-07	42.882
64.0131514942	1.06688585824	295.663	9.6858e-08	57.378
65.8238182728	1.09706363788	295.663	7.82316e-08	85.236
67.6291649606	1.12715274934	295.662	7.82316e-08	112.248
69.4366009092	1.15727668182	295.662	7.82316e-08	124.992
71.2364826227	1.18727471038	295.663	6.70557e-08	127.404
73.0426006222	1.21737667704	295.663	4.8429e-08	118.302
74.8501426087	1.24750237681	295.663	2.98025e-08	116.562
76.6499154847	1.27749859141	295.663	2.60771e-08	150.252
78.4500547687	1.30750091281	295.663	3.35278e-08	169.692
80.2491147764	1.33748524627	295.663	3.72531e-08	180.0
82.0487273707	1.36747878951	295.663	3.35278e-08	-174.804
83.8476963888	1.39746160648	295.663	2.98025e-08	180.0
85.6504491736	1.42750748623	295.663	2.98025e-08	174.288
87.4503305372	1.45750550895	295.664	3.72531e-08	145.008
89.2522997617	1.48753832936	295.664	5.96051e-08	139.398
91.0522630159	1.51753771693	295.664	7.0781e-08	136.848
92.8576999934	1.54762833322	295.664	7.45063e-08	129.804
94.6634099396	1.57772349899	295.663	6.70557e-08	115.344
96.4723188695	1.60787198116	295.665	4.8429e-08	90.0
98.2801838689	1.63800306448	295.665	2.60771e-08	39.804
100.08148467	1.6680247445	295.664	2.98025e-08	-29.052
101.886860754	1.69811434591	295.664	5.58796e-08	-49.764
103.694538875	1.72824231459	295.663	8.19568e-08	-53.13
105.503263026	1.75838771711	295.663	1.11759e-07	-54.462
107.311306855	1.78852178092	295.663	1.26661e-07	-55.494
109.110864156	1.8185144026	295.663	1.22935e-07	-55.884
110.910585238	1.84850975397	295.664	9.31327e-08	-59.034
112.710977193	1.87851628655	295.665	6.33304e-08	-71.568
114.510967044	1.9085161174	295.664	2.98025e-08	-119.052
116.31510952	1.93858515867	295.664	5.21543e-08	180.0
118.114548534	1.9685758089	295.664	7.0781e-08	164.052
119.914464544	1.99857440906	295.663	7.45063e-08	149.034
121.714160429	2.02856934048	295.663	6.33304e-08	130.914
123.513057705	2.05855096175	295.663	4.09784e-08	90.0
125.318202116	2.08863670193	295.664	6.33304e-08	25.2
127.124735868	2.1187455978	295.665	1.04309e-07	7.122
128.9358044	2.14893007334	295.664	1.41562e-07	-2.664
130.741871306	2.17903118843	295.664	1.60188e-07	-8.298
132.551745775	2.20919576292	295.664	1.63914e-07	-11.538
134.359000444	2.23931667407	295.664	1.71364e-07	-14.574
136.158829314	2.2693138219	295.665	1.71364e-07	-17.748
137.964691143	2.29941151905	295.664	1.67639e-07	-19.506
139.773605672	2.32956009454	295.664	1.49013e-07	-23.7
141.582284678	2.35970474464	295.664	1.1921e-07	-37.182
143.389960699	2.38983267832	295.664	1.08034e-07	-58.734
145.189991496	2.4198331916	295.664	1.22935e-07	-74.478
146.99004154	2.44983402567	295.664	1.41562e-07	-80.538
148.789338821	2.47982231368	295.664	1.45287e-07	-78.18
150.589110297	2.50981850495	295.663	1.41562e-07	-75.324
152.388712742	2.53981187904	295.664	1.45287e-07	-75.648
154.18961039	2.56982683983	295.663	1.56463e-07	-78.93
155.991225455	2.59985375758	295.663	1.63914e-07	-80.73
157.791850133	2.62986416889	295.662	1.63914e-07	-80.73
159.591848033	2.65986413389	295.662	1.60188e-07	-77.094
161.394318401	2.68990530668	295.662	1.45287e-07	-72.804
163.205460075	2.72009100125	295.663	1.1921e-07	-72.072
165.014724564	2.7502454094	295.663	8.19568e-08	-85.428
166.823766829	2.78039611381	295.664	6.33304e-08	-117.9
168.632799294	2.81054665491	295.664	7.82316e-08	-143.616
170.442460988	2.84070768314	295.663	8.19568e-08	-161.568
172.250291342	2.87083818903	295.664	8.56821e-08	177.798
174.07790633	2.90129843883	295.664	9.31327e-08	159.678
175.878939761	2.93131566269	295.664	9.31327e-08	150.75
177.678965658	2.96131609431	295.663	8.94074e-08	145.716
179.483639723	2.99139399539	295.663	6.70557e-08	144.78
181.291843134	3.0215307189	295.664	4.47037e-08	158.964
183.103472652	3.05172454421	295.664	2.60771e-08	-172.878
184.913521402	3.08189202336	295.664	2.60771e-08	-135.0
186.721623324	3.1120270554	295.664	1.86266e-08	-90.0
188.5314425	3.14219070833	295.663	3.35278e-08	-26.562
190.340287387	3.17233812312	295.663	7.45063e-08	-7.434
192.146271002	3.20243785003	295.663	1.1921e-07	-7.908
193.956113275	3.23260188792	295.663	1.56463e-07	-8.652
195.763942929	3.26273238214	295.662	1.71364e-07	-8.916
197.575048207	3.29291747012	295.663	1.63914e-07	-11.538
199.381458073	3.32302430122	295.663	1.52738e-07	-19.23
201.180880289	3.35301467149	295.663	1.34111e-07	-32.154
202.986075444	3.38310125741	295.663	1.30386e-07	-45.0
204.794738352	3.41324563921	295.662	1.26661e-07	-54.636
206.594044382	3.44323407303	295.663	9.6858e-08	-62.592
208.393990488	3.4732331748	295.663	7.0781e-08	-74.052
210.208865185	3.50348108642	295.663	5.21543e-08	-100.62
212.010139389	3.53350232315	295.663	5.21543e-08	-135.0
213.808957924	3.56348263207	295.663	5.58796e-08	-162.648
215.610345515	3.59350575859	295.662	5.96051e-08	163.608
217.410082696	3.62350137826	295.663	7.45063e-08	136.734
219.21231054	3.65353850901	295.663	1.00583e-07	125.754
221.011490934	3.6835248489	295.663	1.1921e-07	127.182
222.810805363	3.71351342271	295.663	1.30386e-07	138.012
224.610858557	3.74351430928	295.663	1.26661e-07	149.532
Time (s)	Time (min)	T (K)	Radius (V)	theta
1.06634715325	0.0177724525542	295.664	1.26661e-07	-106.554
2.87251414713	0.0478752357855	295.664	1.26661e-07	-90.0
4.67158325372	0.0778597208953	295.663	1.15484e-07	-79.992
6.47210889353	0.107868481559	295.662	9.31327e-08	-75.468
8.27170713953	0.137861785659	295.662	7.45063e-08	-74.748
10.0721445894	0.167869076491	295.662	5.58796e-08	-72.648
14.2968538602	0.238280897671	295.663	3.72531e-08	-14.034
17.4693564587	0.291155940978	295.662	7.82316e-08	2.388
21.3281402779	0.355469004632	295.663	8.19568e-08	-18.432
23.1267673851	0.385446123086	295.663	7.82316e-08	-29.748
24.9287310103	0.415478850172	295.664	6.70557e-08	-50.904
26.7288272493	0.445480454155	295.663	6.33304e-08	-92.862
