Time (s)	Time since Epoch	Temperature (K)	H (Oe)
2.54415579973	1474050929.57	2.0	-0.057
2.68412022106	1474050929.71	1.9999	-0.057
2.82414248883	1474050929.85	1.9999	-0.057
2.99011914499	1474050930.02	1.9999	-0.057
3.1971823189	1474050930.23	1.9999	-0.057
3.414152472	1474050930.44	1.9999	-0.057
3.55416292168	1474050930.58	1.9999	-0.057
3.71515732053	1474050930.74	1.9998	-0.057
3.86818010767	1474050930.9	1.9998	-0.057
4.00819180136	1474050931.04	1.9998	-0.057
4.14922233868	1474050931.18	1.9998	-0.057
4.29621416864	1474050931.33	1.9999	-0.057
4.47718642413	1474050931.51	1.9999	-0.057
4.61723263907	1474050931.65	1.9999	-0.057
4.77321990042	1474050931.8	2.0	-0.057
4.9262349125	1474050931.95	2.0	-0.057
5.06924653466	1474050932.1	2.0	-0.057
5.21024410573	1474050932.24	2.0	-0.057
5.3503201769	1474050932.38	1.9998	-0.057
5.54728572717	1474050932.58	1.9998	-0.057
5.7342460215	1474050932.76	1.9998	-0.057
5.93332825363	1474050932.96	1.9999	-0.057
6.09234436666	1474050933.12	1.9999	-0.057
6.26227728346	1474050933.29	1.9999	-0.057
6.42331180161	1474050933.45	2.0012	-0.057
6.60833206341	1474050933.64	2.0012	-0.057
6.75130138925	1474050933.78	2.0012	-0.057
6.91827947291	1474050933.95	2.0022	-0.057
7.06331509823	1474050934.09	2.0022	-0.057
7.20334669607	1474050934.23	2.0022	-0.057
7.35833563993	1474050934.39	2.0022	-0.057
7.57139711576	1474050934.6	2.0031	-0.057
7.7703468609	1474050934.8	2.0031	-0.057
7.92736167394	1474050934.96	2.0031	-0.057
8.08635726082	1474050935.12	2.0037	-0.057
8.2713747236	1474050935.3	2.0037	-0.057
8.41337061215	1474050935.44	2.0037	-0.057
8.57139524975	1474050935.6	2.0037	-0.057
8.7703739181	1474050935.8	2.0044	-0.057
8.95539884494	1474050935.98	2.0044	-0.057
9.09639299498	1474050936.12	2.0044	-0.057
9.28142942891	1474050936.31	2.0056	-0.057
9.42842063687	1474050936.46	2.0056	-0.057
9.59744915889	1474050936.63	2.0056	-0.057
9.74843954581	1474050936.78	2.007	-0.057
9.95246018393	1474050936.98	2.007	-0.057
10.0964499084	1474050937.12	2.007	-0.057
10.2414519455	1474050937.27	2.008	-0.057
10.3904432094	1474050937.42	2.008	-0.057
10.5394590425	1474050937.57	2.008	-0.057
10.686519293	1474050937.71	2.008	-0.057
10.8384678781	1474050937.87	2.0089	-0.057
11.0125365039	1474050938.04	2.0089	-0.057
11.1535197689	1474050938.18	2.0089	-0.057
11.3035037522	1474050938.33	2.0089	-0.057
11.4664692839	1474050938.5	2.0089	-0.057
11.6104932186	1474050938.64	2.0095	-0.057
11.7584942511	1474050938.79	2.0095	-0.057
11.9834988384	1474050939.01	2.0095	-0.057
12.2095297334	1474050939.24	2.0106	-0.332
12.3605185653	1474050939.39	2.0106	-0.769
12.5184925095	1474050939.55	2.0111	-0.77
12.7496185556	1474050939.78	2.0111	-0.77
12.8905399311	1474050939.92	2.0111	-0.713
13.0576175356	1474050940.09	2.013	-0.732
13.2275756435	1474050940.26	2.013	-0.674
13.3995776588	1474050940.43	2.013	-0.825
13.5545902389	1474050940.58	2.0134	-0.767
13.7385975661	1474050940.77	2.0134	-0.825
13.885579755	1474050940.91	2.0134	-0.825
14.0406386744	1474050941.07	2.0134	-0.881
14.2966361988	1474050941.33	2.0147	-0.768
14.4675839162	1474050941.5	2.0147	-0.806
14.6265798141	1474050941.66	2.0162	-0.789
14.8106092225	1474050941.84	2.0162	-0.713
14.9666107899	1474050942.0	2.0162	-0.713
15.1726849764	1474050942.2	2.0162	-0.789
15.3266404595	1474050942.36	2.0176	-0.768
15.4926373309	1474050942.52	2.0176	-0.787
15.6836751767	1474050942.71	2.0176	-0.824
15.8677160922	1474050942.9	2.0173	-0.748
16.0087117973	1474050943.04	2.0173	-0.883
16.1586385562	1474050943.19	2.0173	-0.883
16.3657185242	1474050943.39	2.0186	-0.845
16.5326816798	1474050943.56	2.0186	-0.842
16.6725866997	1474050943.7	2.0186	-0.693
16.8335913616	1474050943.86	2.0198	-0.693
17.0116224681	1474050944.04	2.0198	-0.788
17.1506305572	1474050944.18	2.0198	-0.826
17.3226633617	1474050944.35	2.0207	-0.88
17.4926077856	1474050944.52	2.0207	-0.748
17.6616223126	1474050944.69	2.0207	-0.748
17.8135948448	1474050944.84	2.0219	-0.73
17.9566412992	1474050944.99	2.0219	-0.862
18.1216613122	1474050945.15	2.0219	-0.825
18.2606700234	1474050945.29	2.0219	-0.808
18.465686491	1474050945.49	2.0213	-0.808
18.6297172056	1474050945.66	2.0213	-0.693
18.8007277455	1474050945.83	2.0213	-0.765
18.9616674079	1474050945.99	2.0221	-0.787
19.1407304201	1474050946.17	2.0221	-0.787
19.2827331507	1474050946.31	2.0221	-0.825
19.4606840185	1474050946.49	2.0233	-0.711
19.6137064947	1474050946.64	2.0233	-0.728
19.7547277019	1474050946.78	2.0233	-0.712
19.909751789	1474050946.94	2.0233	-0.712
20.071701898	1474050947.1	2.024	-0.653
20.227771886	1474050947.26	2.024	-0.842
20.3717246012	1474050947.4	2.024	-0.769
20.5307453793	1474050947.56	2.0248	-0.769
20.6837467073	1474050947.71	2.0248	-0.92
20.833782939	1474050947.86	2.0248	-0.787
21.0147446204	1474050948.05	2.0248	-0.749
21.1557596076	1474050948.19	2.0268	-0.749
21.3077874983	1474050948.34	2.0268	-0.749
21.4608186825	1474050948.49	2.0268	-0.694
21.6027753848	1474050948.63	2.0272	-0.729
21.7578193761	1474050948.79	2.0272	-0.729
21.8987699858	1474050948.93	2.0272	-0.732
22.0967917	1474050949.13	2.0289	-0.826
22.244858043	1474050949.28	2.0289	-0.863
22.394796931	1474050949.42	2.0289	-0.769
22.5338056422	1474050949.56	2.0289	-0.769
22.6948351843	1474050949.72	2.0292	-0.743
22.901866014	1474050949.93	2.0292	-0.719
23.0698495682	1474050950.1	2.0292	-0.771
23.2308738232	1474050950.26	2.0292	-0.771
23.4148531603	1474050950.44	2.0292	-0.598
23.5538519194	1474050950.58	2.0292	-0.596
23.7288504421	1474050950.76	2.0308	-0.646
23.8769320242	1474050950.91	2.0308	-0.549
24.0409027154	1474050951.07	2.0308	-0.549
24.2129193478	1474050951.24	2.0308	-0.658
24.3598922066	1474050951.39	2.0324	-0.502
24.4989105588	1474050951.53	2.0324	-0.498
24.6619093677	1474050951.69	2.0324	-0.498
24.823904883	1474050951.85	2.0336	-0.557
25.0139055362	1474050952.04	2.0336	-0.518
25.1539097658	1474050952.18	2.0336	-0.52
25.3019260374	1474050952.33	2.0333	-0.52
25.4689345993	1474050952.5	2.0333	-0.457
25.6159519315	1474050952.65	2.0333	-0.532
25.755947453	1474050952.79	2.0333	-0.459
25.9030017945	1474050952.93	2.0345	-0.459
26.0929318501	1474050953.12	2.0345	-0.442
26.2319604654	1474050953.26	2.0345	-0.533
26.4070460688	1474050953.44	2.0357	-0.502
26.5479578032	1474050953.58	2.0357	-0.555
26.6959666108	1474050953.73	2.0357	-0.555
26.9380999624	1474050953.97	2.0357	-0.555
27.0859672639	1474050954.12	2.0368	-0.518
27.2800202774	1474050954.31	2.0368	7.686
27.4450863187	1474050954.47	2.0377	8.966
27.5989811564	1474050954.63	2.0377	11.031
27.748064477	1474050954.78	2.0377	11.031
27.887044265	1474050954.92	2.0377	13.345
28.04005088	1474050955.07	2.0386	15.622
28.2360684952	1474050955.27	2.0386	18.025
28.392120134	1474050955.42	2.0386	20.452
28.5430470764	1474050955.57	2.0395	20.452
28.6930326148	1474050955.72	2.0395	22.933
28.8381574978	1474050955.87	2.0395	22.933
29.0681564715	1474050956.1	2.0392	26.251
29.2841811775	1474050956.31	2.0392	28.737
29.447125872	1474050956.48	2.0392	31.31
29.5961149589	1474050956.63	2.0402	33.875
29.7440848912	1474050956.77	2.0402	36.565
29.884108714	1474050956.91	2.0402	39.069
30.0231112051	1474050957.05	2.0402	39.069
30.1701307143	1474050957.2	2.0416	41.759
30.3611582971	1474050957.39	2.0416	44.261
30.5081236918	1474050957.54	2.0416	46.765
30.6601798837	1474050957.69	2.0427	49.555
30.8151697606	1474050957.85	2.0427	49.555
30.9621469735	1474050957.99	2.0427	53.065
31.1011597277	1474050958.13	2.0427	53.065
31.3401516447	1474050958.37	2.0437	55.673
31.4872109622	1474050958.52	2.0437	58.326
31.6331628004	1474050958.66	2.0437	60.95
31.8172348161	1474050958.85	2.0448	63.668
31.9602738065	1474050958.99	2.0448	66.222
32.1112483323	1474050959.14	2.0448	66.222
32.2961864894	1474050959.33	2.0458	68.945
32.5023144793	1474050959.53	2.0458	71.37
32.6601783287	1474050959.69	2.0458	74.23
32.8072755885	1474050959.84	2.0467	76.163
32.948196653	1474050959.98	2.0467	76.163
33.0892312333	1474050960.12	2.0467	78.848
33.2322024252	1474050960.26	2.0467	81.007
33.4043011622	1474050960.43	2.0474	81.007
33.5652405137	1474050960.6	2.0474	82.953
33.715223564	1474050960.75	2.0474	84.841
33.8802644142	1474050960.91	2.048	86.506
34.0313624079	1474050961.06	2.048	88.293
34.1702971005	1474050961.2	2.048	88.293
34.4016974507	1474050961.43	2.0487	89.88
34.6192678383	1474050961.65	2.0487	92.758
34.7602965096	1474050961.79	2.0487	92.758
34.9093011467	1474050961.94	2.0492	93.881
35.0682998436	1474050962.1	2.0492	95.398
35.2183236352	1474050962.25	2.0492	95.398
35.3723061756	1474050962.4	2.0492	96.263
35.6043596307	1474050962.63	2.0495	97.196
35.762350991	1474050962.79	2.0495	97.851
35.9013139848	1474050962.93	2.0495	98.416
36.0933893345	1474050963.12	2.0499	98.416
36.2333456698	1474050963.26	2.0499	98.972
36.3923493427	1474050963.42	2.0499	99.547
36.582374876	1474050963.61	2.0516	99.812
36.7623621871	1474050963.79	2.0516	100.126
36.9013786733	1474050963.93	2.0516	100.29
37.0743976662	1474050964.11	2.0532	100.29
37.2203868247	1474050964.25	2.0532	100.696
37.3653857517	1474050964.4	2.0532	100.889
37.5944162642	1474050964.62	2.0532	100.889
37.7564074255	1474050964.79	2.0541	101.17
37.898395228	1474050964.93	2.0541	101.17
38.0364354779	1474050965.07	2.0541	101.187
38.2233867532	1474050965.25	2.0553	101.331
38.3684279765	1474050965.4	2.0553	101.428
38.5104670944	1474050965.54	2.0553	101.428
38.7115649326	1474050965.74	2.0561	101.503
38.8995748598	1474050965.93	2.0561	101.56
39.0455621523	1474050966.08	2.0561	101.658
39.1985852504	1474050966.23	2.0568	101.676
39.3565853188	1474050966.39	2.0568	101.676
39.511615315	1474050966.54	2.0568	101.761
39.7356169198	1474050966.77	2.0568	101.612
39.9576592099	1474050966.99	2.0576	101.766
40.1046084325	1474050967.13	2.0576	101.769
40.2656171375	1474050967.3	2.0581	101.767
40.4086617259	1474050967.44	2.0581	101.874
40.5597037392	1474050967.59	2.0581	101.874
40.7046162076	1474050967.73	2.0581	101.812
40.9476567529	1474050967.98	2.0588	101.865
41.0905993326	1474050968.12	2.0588	101.855
41.2306943749	1474050968.26	2.0588	101.855
41.4316696782	1474050968.46	2.0595	101.862
41.5726971055	1474050968.6	2.0595	101.84
41.7296764643	1474050968.76	2.0595	101.886
41.9147004581	1474050968.95	2.0599	101.916
42.1136809925	1474050969.14	2.0599	101.767
42.2756908139	1474050969.31	2.0599	101.895
42.4497308275	1474050969.48	2.0616	101.895
42.6266603637	1474050969.66	2.0616	101.85
42.7767192986	1474050969.81	2.0616	102.03
42.9847366277	1474050970.02	2.0633	101.824
43.1587542491	1474050970.19	2.0633	101.466
43.3067350664	1474050970.34	2.0633	101.466
43.4707377908	1474050970.5	2.0632	101.472
43.6147744767	1474050970.65	2.0632	101.24
43.7617613306	1474050970.79	2.0632	101.171
43.9187758326	1474050970.95	2.0632	101.171
44.1397955471	1474050971.17	2.0646	100.634
44.3407786254	1474050971.37	2.0646	100.634
44.4947630318	1474050971.53	2.066	100.64
44.6566979017	1474050971.69	2.066	100.615
44.820825027	1474050971.85	2.066	100.451
44.977832687	1474050972.01	2.066	100.432
45.182770782	1474050972.21	2.067	100.324
45.369823444	1474050972.4	2.067	100.324
45.5127977459	1474050972.54	2.067	100.274
45.6888325284	1474050972.72	2.0668	100.197
45.8478110101	1474050972.88	2.0668	100.189
45.9978478639	1474050973.03	2.0668	100.112
46.1838586681	1474050973.21	2.068	100.112
46.3678454692	1474050973.4	2.068	100.168
46.5078484548	1474050973.54	2.068	100.099
46.6838664432	1474050973.71	2.0691	100.189
46.8428452359	1474050973.87	2.0691	100.086
47.0088663654	1474050974.04	2.0691	100.086
47.2058614609	1474050974.24	2.0699	100.068
47.4308822203	1474050974.46	2.0699	100.018
47.5719286187	1474050974.6	2.0699	99.997
47.7178341176	1474050974.75	2.0709	99.975
47.8748778538	1474050974.91	2.0709	100.068
48.0399865025	1474050975.07	2.0709	100.068
48.1809619924	1474050975.21	2.0709	100.003
48.4849484203	1474050975.52	2.0716	100.054
48.6279597314	1474050975.66	2.0716	100.117
48.7699876532	1474050975.8	2.0723	100.042
48.9099526965	1474050975.94	2.0723	100.075
49.0719802451	1474050976.1	2.0723	100.117
49.2129765722	1474050976.24	2.0723	100.117
49.3859678859	1474050976.42	2.0733	100.157
49.6079905828	1474050976.64	2.0733	100.106
49.7479792624	1474050976.78	2.0733	100.032
49.9089929434	1474050976.94	2.074	100.032
50.0999925359	1474050977.13	2.074	99.916
50.2429830099	1474050977.27	2.074	100.122
50.4490145891	1474050977.48	2.0765	100.008
50.6270892359	1474050977.66	2.0765	100.102
50.7710581232	1474050977.8	2.0765	100.105
50.911082568	1474050977.94	2.0767	100.105
51.0594555593	1474050978.09	2.0767	100.067
51.2041559241	1474050978.24	2.0767	100.067
51.3590590314	1474050978.39	2.0767	100.067
51.5160813084	1474050978.55	2.077	100.067
51.6951001583	1474050978.73	2.077	100.067
51.8370885828	1474050978.87	2.077	100.067
52.006137009	1474050979.04	2.0774	100.067
52.1530996047	1474050979.18	2.0774	100.067
52.3030966502	1474050979.34	2.0774	100.067
52.4440780491	1474050979.48	2.0774	100.067
52.639118495	1474050979.67	2.0795	100.067
52.8121169618	1474050979.84	2.0795	100.067
52.9531204419	1474050979.98	2.0795	100.067
53.109078158	1474050980.14	2.0799	100.067
53.2492074106	1474050980.28	2.0799	100.067
53.4501410396	1474050980.48	2.0799	100.067
53.6392080637	1474050980.67	2.08	100.067
53.8271844026	1474050980.86	2.08	100.067
53.979169064	1474050981.01	2.08	100.067
54.1351289571	1474050981.17	2.0816	100.067
54.2851689209	1474050981.32	2.0816	100.067
54.4431708553	1474050981.47	2.0816	100.067
54.5901776134	1474050981.62	2.0816	100.067
54.8172332611	1474050981.85	2.0831	100.067
54.9671939193	1474050982.0	2.0831	100.067
55.1141969453	1474050982.15	2.0831	100.067
55.2872489045	1474050982.32	2.0843	100.067
55.4522350182	1474050982.48	2.0843	100.067
55.5961379731	1474050982.63	2.0843	100.067
55.7692524437	1474050982.8	2.0837	100.067
55.9152521762	1474050982.95	2.0837	100.067
56.0772352515	1474050983.11	2.0837	100.067
56.2252614752	1474050983.26	2.0837	100.067
56.3662612233	1474050983.4	2.085	100.067
56.5262597927	1474050983.56	2.085	100.067
56.6772921649	1474050983.71	2.085	100.067
56.8173477099	1474050983.85	2.085	100.067
56.9912670546	1474050984.02	2.0862	100.067
57.1753073481	1474050984.21	2.0862	100.067
57.3283173841	1474050984.36	2.0862	100.067
57.4843015354	1474050984.52	2.0871	100.067
57.643392289	1474050984.67	2.0871	100.067
57.8073116648	1474050984.84	2.0871	100.067
58.0043111143	1474050985.04	2.088	100.067
58.180376375	1474050985.21	2.088	100.067
58.3573752647	1474050985.39	2.088	100.067
58.507342143	1474050985.54	2.0889	100.067
58.6803686	1474050985.71	2.0889	100.067
58.8233313948	1474050985.86	2.0889	100.067
58.986375921	1474050986.02	2.0889	100.067
59.1884083212	1474050986.22	2.0897	100.067
59.3394270093	1474050986.37	2.0897	100.067
59.480379174	1474050986.51	2.0897	100.067
59.621362439	1474050986.65	2.0905	100.067
59.7724088063	1474050986.8	2.0905	100.067
59.9513676327	1474050986.98	2.0905	100.067
